05-24-202104:02:54 | Reception --- Auxiliary A1 begins his rest
05-24-202104:02:59 | Reception --- Auxiliary A1 ends his rest
05-24-202104:02:59 | Reception --- Auxiliary A1 begins his rest
05-24-202104:03:03 | Reception --- Auxiliary A1 ends his rest
05-24-202104:03:03 | Reception --- Patient P0001 in desk 1controlled by 3
05-24-202104:03:03 | Observation Room --- Patient P0001 in desk 1controlled by -1
05-24-202104:03:04 | Reception --- Patient P0003 in desk 1controlled by 3
05-24-202104:03:05 | Reception --- Patient P0004 in desk 2controlled by 6
05-24-202104:03:05 | Observation Room --- Patient P0003 in desk 2controlled by -1
05-24-202104:03:05 | Reception --- Patient P0006 in desk 1controlled by 3
05-24-202104:03:06 | Observation Room --- Patient P0004 in desk 3controlled by -1
05-24-202104:03:06 | Observation Room --- Patient P0006 in desk 4controlled by -1
05-24-202104:03:06 | Reception --- Patient P0005 in desk 1controlled by 3
05-24-202104:03:07 | Reception --- Patient P0002 in desk 2controlled by 6
05-24-202104:03:07 | Observation Room --- Patient P0005 in desk 5controlled by -1
05-24-202104:03:07 | Reception --- Patient P0007 in desk 1controlled by 3
05-24-202104:03:08 | Observation Room --- Patient P0002 in desk 6controlled by -1
05-24-202104:03:08 | Observation Room --- Patient P0007 in desk 7controlled by -1
05-24-202104:03:08 | Reception --- Patient P0008 in desk 1controlled by 3
05-24-202104:03:09 | Observation Room --- Patient P0008 in desk 8controlled by -1
05-24-202104:03:09 | Vaccination Room --- Auxiliary A2 begins his rest
05-24-202104:03:09 | Reception --- Patient P0010 in desk 1controlled by 3
05-24-202104:03:09 | Reception --- Auxiliary A1 begins his rest
05-24-202104:03:10 | Observation Room --- Patient P0010 in desk 9controlled by -1
05-24-202104:03:12 | Vaccination Room --- Auxiliary A2 ends his rest
05-24-202104:03:13 | Reception --- Auxiliary A1 ends his rest
05-24-202104:03:13 | Reception --- Auxiliary A1 begins his rest
05-24-202104:03:13 | Reception --- Patient P0009 in desk 1controlled by 3
05-24-202104:03:13 | Observation Room --- Patient P0001 exits the hospital
05-24-202104:03:14 | Observation Room --- Patient P0009 in desk 1controlled by -1
05-24-202104:03:15 | Observation Room --- Patient P0003 exits the hospital
05-24-202104:03:16 | Observation Room --- Patient P0004 exits the hospital
05-24-202104:03:16 | Observation Room --- Patient P0006 exits the hospital
05-24-202104:03:17 | Reception --- Auxiliary A1 ends his rest
05-24-202104:03:17 | Reception --- Auxiliary A1 begins his rest
05-24-202104:03:17 | Observation Room --- Patient P0005 exits the hospital
05-24-202104:03:18 | Observation Room --- Patient P0002 exits the hospital
05-24-202104:03:18 | Observation Room --- Patient P0007 exits the hospital
05-24-202104:03:19 | Observation Room --- Patient P0008 exits the hospital
05-24-202104:03:20 | Reception --- Auxiliary A1 ends his rest
05-24-202104:03:20 | Reception --- Auxiliary A1 begins his rest
05-24-202104:03:20 | Observation Room --- Patient P0010 exits the hospital
